66,"Monterey Media, Inc.",0.0%,$392k,11,12,
67,Area23a,0.0%,$365k,1,1,
68,eOne Entertainment,0.0%,$355k,5,5,
69,Variance Films,0.0%,$343k,11,7,
70,Xlrator Media,0.0%,$341k,1,1,
71,Bond/360,0.0%,$337k,2,2,
72,Picturehouse (II),0.0%,$333k,1,1,
73,Ketchup Entertainment,0.0%,$325k,5,3,
74,Film Movement,0.0%,$299k,9,9,
75,JSC Entertainment,0.0%,$294k,1,1,
76,Abkco Films,0.0%,$294k,1,1,
77,International Film Circuit,0.0%,$276k,6,2,
78,Big World Pictures,0.0%,$270k,4,4,
79,First Run,0.0%,$262k,19,15,
80,Five & Two Pictures,0.0%,$248k,1,1,
